City of Origin,Destination City,Stopover City,Driving Distance (km),Vehicle Plate,Vehicle Type,Speed (km/h),Distance (km),Load Weight (tons),Fuel Consumption (L/100km),Traffic Congestion
Dar es Salaam,Kigali,,1444.0,DAR-KIG-0194,Coupe,114.21242469665093,173.93144473321343,0.5600877601089307,8.957145555201617,Medium
Kampala,Kigali,,511.0,KAM-KIG-0195,Saloon,51.41831516278018,199.7520201241145,1.410641054133171,11.37357930171256,High
Nairobi,Dar es Salaam,Mombasa,1012.0,NAI-DAR-0196,Saloon,63.916825766958524,129.4536788535441,1.3917145027792595,10.974134870873355,High
Nairobi,Bujumbura,,1281.0,NAI-BUJ-0197,SUV,119.26713121289325,111.39788865052991,3.9330059391665784,14.043187681042921,High
Nairobi,Wau,Juba,1868.0,NAI-WAU-0198,Hybrid,65.69197689553688,182.2234637579623,1.5386542269865544,11.938791955915319,Low
Kigali,Bujumbura,,273.0,KIG-BUJ-0199,Coupe,77.70365736724752,29.780833382991602,1.1692065805544893,13.78386917006409,Low
Nairobi,Kigali (via Kampala),Kampala,1172.0,NAI-KIG-0200,Truck,53.70803332799029,155.59355829229062,10.856582495964306,33.41286311996177,High
Juba,Wau,,647.0,JUB-WAU-0201,Saloon,61.512039483124575,110.54403739234581,0.8399846033404821,9.8399704466555,High
Nairobi,Wau,Juba,1868.0,NAI-WAU-0202,SUV,64.1654305647656,283.57690590872164,1.736643972572752,18.003565078223616,High
Nairobi,Kigali (via Kampala),Kampala,1172.0,NAI-KIG-0203,SUV,74.02272491462598,293.00536157202976,4.580276806465104,16.50877369047194,Low
Bujumbura,Kisumu,,1064.0,BUJ-KIS-0204,Coupe,101.97746719308012,71.62341309192136,0.6996022956698376,14.6948695519819,High
Kigali,Bujumbura,,273.0,KIG-BUJ-0205,Saloon,109.64836167327005,205.31497315782602,1.3366751260550374,12.84520408191397,High
Nairobi,Kampala,Kisumu,663.0,NAI-KAM-0206,Hybrid,67.91233673702308,24.43416222418845,1.3434452238168646,11.703376991537661,Medium
Kigali,Bujumbura,,273.0,KIG-BUJ-0207,Saloon,60.51817654145958,213.2013694297864,0.8014005329885847,11.28662147578465,Medium
Nairobi,Kigali (via Kampala),Kampala,1172.0,NAI-KIG-0208,Coupe,75.80058697880318,95.57047788905518,1.2073959946742951,11.475715242389821,Low
Juba,Wau,,647.0,JUB-WAU-0209,Coupe,109.89470346923308,161.13549255004855,1.4126133833753431,10.346420818554535,Medium
Kigali,Butare,,125.0,KIG-BUT-0210,Saloon,73.95895494855849,62.67648373251688,1.9887252532375628,14.416007743394363,Medium
Juba,Wau,,647.0,JUB-WAU-0211,Coupe,102.39742781683358,169.98632593152004,0.9251495727264505,14.235856880027598,Medium
Nairobi,Bujumbura,,1281.0,NAI-BUJ-0212,Saloon,55.34746592696099,231.47571773910622,0.6915702254528522,13.608541042020228,Low
Nairobi,Arusha,,274.0,NAI-ARU-0213,Truck,79.1014043835193,596.1212884200835,10.361603805247622,24.54692533917993,Medium
Nairobi,Kigali (via Kampala),Kampala,1172.0,NAI-KIG-0214,Saloon,65.78675419465057,120.83819409202535,0.6314641201457578,14.495662584248503,Low
Bujumbura,Dar es Salaam,,1496.0,BUJ-DAR-0215,Saloon,83.22813444274257,105.54680698424659,1.0954722756114252,10.577620324038685,High
Nairobi,Kigali (via Kampala),Kampala,1172.0,NAI-KIG-0216,Coupe,106.03566000163704,107.97909126233458,1.4032703678573009,12.969634829058302,Medium
Kigali,Bujumbura,,273.0,KIG-BUJ-0217,Coupe,129.52948088939877,171.77074197156819,0.5502126172288029,17.30595214643916,Low
Nairobi,Kigali (via Kampala),Kampala,1172.0,NAI-KIG-0218,SUV,66.98198387312857,417.85236882103624,2.8321815271680304,18.779743204450696,Medium
Nairobi,Tanzania,Arusha,902.0,NAI-TAN-0219,SUV,112.08340140644702,412.6664300529295,4.265106527074715,13.046791390980408,High
Juba,Wau,,647.0,JUB-WAU-0220,Truck,44.04596415256261,382.08612513561303,11.735245149865086,30.424266333536927,Low
Kigali,Bujumbura,,273.0,KIG-BUJ-0221,SUV,80.76598359226713,489.0245903869617,3.7434022707086623,18.22480563634361,Low
Juba,Wau,,647.0,JUB-WAU-0222,Saloon,57.95148036451091,261.3640550363343,1.8841357857700916,10.896495350551486,Low
Kampala,Kigali,,511.0,KAM-KIG-0223,Coupe,106.37517626505866,155.31386217156913,0.5098063527124951,13.025660764634424,High
Nairobi,Kigali (via Arusha),Arusha,1354.0,NAI-KIG-0224,SUV,83.91978166633879,115.8682964730121,2.78637047802036,10.681723093854936,High
Kigali,Butare,,125.0,KIG-BUT-0225,SUV,61.54871441696922,110.82483011967025,4.870902890562109,15.49529535895017,High
Nairobi,Dar es Salaam,Mombasa,1012.0,NAI-DAR-0226,Truck,88.291108057661,402.7485148310924,13.118161330852596,27.59212794260366,Low
Bujumbura,Dar es Salaam,,1496.0,BUJ-DAR-0227,Truck,61.9755844316455,173.96527898322074,16.408263146902062,23.240572737643994,High
Kampala,Bujumbura,,720.0,KAM-BUJ-0228,Saloon,87.17527729386978,202.05630587148295,0.7280372796929722,7.490797016885345,Medium
Juba,Wau,,647.0,JUB-WAU-0229,Coupe,116.84569516410639,97.36208051617083,0.3697965546065709,17.94866317169767,High
Nairobi,Kigali (via Arusha),Arusha,1354.0,NAI-KIG-0230,Truck,42.88902804981833,586.5246602009872,19.836789252634134,23.587701563238884,Low
Dar es Salaam,Kigali,,1444.0,DAR-KIG-0231,SUV,68.53496212123177,104.62322274009301,2.5614630164865844,11.010458110106466,Medium
Nairobi,Kigali (via Kampala),Kampala,1172.0,NAI-KIG-0232,Coupe,111.52968050164792,21.835441644711914,0.9113065537797476,17.96696853852977,High
Nairobi,Wau,Juba,1868.0,NAI-WAU-0233,Coupe,118.83821617036114,126.89169326389207,0.667504344943934,14.238958362916385,Medium
Nairobi,Kigali (via Kampala),Kampala,1172.0,NAI-KIG-0234,SUV,91.6224878346991,241.73752275066715,1.957486318590698,18.866042152404667,Medium
Bujumbura,Kisumu,,1064.0,BUJ-KIS-0235,Truck,62.48923244106612,236.23575827453556,13.677593508772896,26.211946287933905,Low
Dar es Salaam,Kigali,,1444.0,DAR-KIG-0236,SUV,109.65227373401245,380.1264712526309,4.19256712774469,10.110312644286472,Medium
Kampala,Juba,,653.0,KAM-JUB-0237,Coupe,94.96923989078569,101.45538881071148,0.32303073218766803,10.598132087450342,Medium
Bujumbura,Kisumu,,1064.0,BUJ-KIS-0238,Hybrid,85.6173893873281,42.906329374959775,1.3029651971788874,6.5064131041206625,Low
Kampala,Kigali,,511.0,KAM-KIG-0239,Hybrid,40.727246478633596,67.88834982388995,1.9638106323650808,10.610759783180928,Low
Bujumbura,Gitega,,98.9,BUJ-GIT-0240,Saloon,107.574598659262,156.5991322993815,0.6646042980162552,11.383675911789544,Low
Nairobi,Dar es Salaam,Mombasa,1012.0,NAI-DAR-0241,SUV,87.26264007359765,429.9606872328272,1.8432890327448561,14.882411370217781,Medium
Nairobi,Wau,Juba,1868.0,NAI-WAU-0242,SUV,69.00291988163906,196.10416710052698,4.080749770857299,14.760181293687666,Medium
Nairobi,Kigali (via Arusha),Arusha,1354.0,NAI-KIG-0243,Saloon,72.55329710874616,130.4533579996099,1.18917015260898,13.280132350696455,Medium
Nairobi,Bujumbura,,1281.0,NAI-BUJ-0244,Saloon,103.52508133641406,287.49371222109994,1.6803550793829427,9.523255165984102,Low
Bujumbura,Dar es Salaam,,1496.0,BUJ-DAR-0245,Saloon,91.28808236519254,142.52887473550973,0.8820059330690768,13.726972635407382,High
Nairobi,Bujumbura,,1281.0,NAI-BUJ-0246,Coupe,72.3055809377395,181.33477850573047,0.8537729575496809,14.372014768082805,Medium
Nairobi,Kigali (via Arusha),Arusha,1354.0,NAI-KIG-0247,SUV,99.56123533234697,452.80298331794137,3.7283438875852255,16.13933584760062,High
Juba,Wau,,647.0,JUB-WAU-0248,Coupe,73.9991224336414,108.49752416958877,0.48020280098045,15.374337687214856,Low
Bujumbura,Gitega,,98.9,BUJ-GIT-0249,Saloon,80.73331524876048,210.46377817833894,0.5625093509035763,7.678336128366426,Medium
Bujumbura,Dar es Salaam,,1496.0,BUJ-DAR-0250,SUV,102.97940328376094,82.43795119940302,1.749398547178405,10.121084752348875,High
Nairobi,Tanzania,Arusha,902.0,NAI-TAN-0251,Coupe,127.39008389796881,150.12658829721133,0.723901690202477,10.965355812876552,Medium
Nairobi,Dar es Salaam,Mombasa,1012.0,NAI-DAR-0252,Coupe,90.98219378475098,157.18417092442456,1.0936447332844972,9.85195567867468,Medium
Juba,Wau,,647.0,JUB-WAU-0253,Saloon,60.44656012004506,47.550781919751245,1.4904540795520071,13.114981297773888,Medium
Bujumbura,Kisumu,,1064.0,BUJ-KIS-0254,SUV,75.90278569950024,59.42523246391077,1.7876008361674958,19.678600348450303,High
Bujumbura,Gitega,,98.9,BUJ-GIT-0255,Saloon,67.72668664864521,235.3824813946774,1.4369953532813957,10.055517117223168,Low
Kigali,Butare,,125.0,KIG-BUT-0256,SUV,72.3412357317333,104.62388817173289,3.652545388136033,17.74633780637788,Medium
Juba,Wau,,647.0,JUB-WAU-0257,Hybrid,78.63425521246785,137.272511979798,0.5629268351474543,11.779421443160686,Low
Nairobi,Dar es Salaam,Mombasa,1012.0,NAI-DAR-0258,Truck,79.93570958272872,304.9754256906753,19.799703293588507,29.028223844544833,Low
Nairobi,Tanzania,Arusha,902.0,NAI-TAN-0259,Truck,69.12113291036232,623.6512256006724,18.117697880901375,29.84717910997254,High
Nairobi,Kampala,Kisumu,663.0,NAI-KAM-0260,Truck,46.40478731831,336.78725419614887,19.280836403260498,23.36923417765778,High
Juba,Wau,,647.0,JUB-WAU-0261,Saloon,72.3300214302508,140.98152722437487,1.1591074845416782,11.903516659956203,Low
Bujumbura,Dar es Salaam,,1496.0,BUJ-DAR-0262,Hybrid,96.58455026468246,67.76625083980119,0.6822520644513771,6.382293429019561,Medium
Nairobi,Arusha,,274.0,NAI-ARU-0263,SUV,113.21549401255618,340.6148656948427,2.5006737623370605,18.159469389686173,High
Nairobi,Bujumbura,,1281.0,NAI-BUJ-0264,Coupe,121.68219978180616,170.83772435115281,1.4027118403674654,10.522410201733615,Medium
Nairobi,Bujumbura,,1281.0,NAI-BUJ-0265,SUV,105.3025157247767,257.242773773363,4.446994935115216,17.284906771616132,Medium
Juba,Wau,,647.0,JUB-WAU-0266,Coupe,116.58684678998347,134.67074915940358,0.5129145233636483,13.450269188969383,Medium
Nairobi,Bujumbura,,1281.0,NAI-BUJ-0267,SUV,119.0801843714705,471.8246299237035,1.6511080752895408,11.648148157294372,Low
Bujumbura,Gitega,,98.9,BUJ-GIT-0268,Hybrid,47.903726407273716,184.23517839647093,1.7266779947854176,6.494579564174703,Medium
Dar es Salaam,Kigali,,1444.0,DAR-KIG-0269,Coupe,100.35116157710974,169.733575322128,1.1793618537195008,13.422372054918483,Low
Nairobi,Kampala,Kisumu,663.0,NAI-KAM-0270,Saloon,85.42086142752638,162.3409531365584,0.9463226769782309,11.520175942872129,Low
Nairobi,Kigali (via Arusha),Arusha,1354.0,NAI-KIG-0271,SUV,101.33311812300545,442.99531213736344,3.7270197389273685,17.61121537043158,Medium
Kampala,Juba,,653.0,KAM-JUB-0272,SUV,69.60429809727438,257.70086348890544,1.5326606693948266,12.46678864521623,Medium
Nairobi,Arusha,,274.0,NAI-ARU-0273,Coupe,113.5877029067803,198.44389075637906,0.41901371950465904,12.014943158612883,Medium
Bujumbura,Kisumu,,1064.0,BUJ-KIS-0274,Saloon,98.00425812194956,77.12997769609169,1.3326274239534293,12.864570368237398,Medium
Kigali,Bujumbura,,273.0,KIG-BUJ-0275,Saloon,86.95912701561073,72.64692569231651,1.0330768530286092,13.270334275883178,Low
Bujumbura,Kisumu,,1064.0,BUJ-KIS-0276,Hybrid,73.253590847921,11.255107250299057,1.6414861400421408,5.2471794845816735,Medium
Bujumbura,Dar es Salaam,,1496.0,BUJ-DAR-0277,Saloon,94.74402696387392,76.69455684626647,1.9371102201790702,9.943526010416676,Medium
Nairobi,Kampala,Kisumu,663.0,NAI-KAM-0278,Saloon,69.61589698028475,61.68865409308451,0.9584063232353224,14.013206094625605,Low
Kampala,Kigali,,511.0,KAM-KIG-0279,Saloon,109.78006025763483,123.12666854191754,1.172915946431814,12.776567505621896,High
Kampala,Juba,,653.0,KAM-JUB-0280,Truck,84.30978902325373,515.1310339307489,13.915256981778294,26.189327612729357,High
Juba,Wau,,647.0,JUB-WAU-0281,Hybrid,81.73708878980841,10.772383265026884,1.429384006189761,7.488451073089502,Low
Kampala,Kigali,,511.0,KAM-KIG-0282,SUV,107.65183987662505,91.84578792040946,3.558707934319367,14.809728898861238,High
Nairobi,Wau,Juba,1868.0,NAI-WAU-0283,Coupe,108.53953155431364,22.322182951763985,0.9959805449137575,13.614845879595237,Low
Kigali,Butare,,125.0,KIG-BUT-0284,SUV,93.63960566497025,321.5694499684047,3.867637780292268,18.0498899968077,Medium
Kigali,Butare,,125.0,KIG-BUT-0285,Hybrid,56.18924320769286,208.0118584432149,1.2473835233951804,5.5394079539403185,Medium
Kampala,Juba,,653.0,KAM-JUB-0286,Coupe,73.51305575463876,73.50528055225155,1.241876372533761,15.076809347409156,High
Bujumbura,Kisumu,,1064.0,BUJ-KIS-0287,Hybrid,87.31689788034438,134.14457354598625,1.160298496933236,6.032167686943987,Medium
Dar es Salaam,Kigali,,1444.0,DAR-KIG-0288,Saloon,69.6915652165587,141.52542252868506,0.6329006445194258,8.76489562168969,High
Nairobi,Dar es Salaam,Mombasa,1012.0,NAI-DAR-0289,Coupe,105.89351764382434,149.77599170544607,1.4980170136715396,17.33113331343558,High
Nairobi,Kigali (via Kampala),Kampala,1172.0,NAI-KIG-0290,Saloon,88.5539119721115,137.94945492234018,1.4542660470623492,13.285212944641856,Medium
Juba,Wau,,647.0,JUB-WAU-0291,SUV,67.10017145540324,234.45720036332972,4.43930799972466,13.83832951933044,Medium
Nairobi,Tanzania,Arusha,902.0,NAI-TAN-0292,SUV,94.31233627363119,314.4962123879892,2.1456668859677377,13.622354416522883,High
Nairobi,Kigali (via Arusha),Arusha,1354.0,NAI-KIG-0293,Coupe,90.07067732451593,14.977374621092311,0.3290301166696263,16.316970436757735,Medium
Nairobi,Bujumbura,,1281.0,NAI-BUJ-0294,Coupe,86.38424859836874,108.43496558537494,0.6584706883065277,17.406792451153407,Low
Nairobi,Wau,Juba,1868.0,NAI-WAU-0295,Hybrid,55.55780553194643,113.11763505734442,1.8090953757269028,10.89353496754266,Medium
Nairobi,Kigali (via Arusha),Arusha,1354.0,NAI-KIG-0296,Hybrid,51.16608507077664,202.6343943509705,1.187280330106839,8.380782104597486,Medium
Juba,Wau,,647.0,JUB-WAU-0297,Saloon,58.00879834495663,42.56842385199491,1.5919089604606478,10.971689218842398,Low
Bujumbura,Dar es Salaam,,1496.0,BUJ-DAR-0298,Coupe,96.21104215691076,148.60656344395537,1.2186154787893317,9.589081676693535,Medium
Kampala,Bujumbura,,720.0,KAM-BUJ-0299,SUV,96.61350896865848,110.90933702495849,4.12981280110166,16.569551562671396,Medium
Nairobi,Kampala,Kisumu,663.0,NAI-KAM-0300,Hybrid,97.39687726500748,26.549923925541083,0.5855820817268815,6.975309522852401,High
Nairobi,Arusha,,274.0,NAI-ARU-0301,Hybrid,55.70234102415436,69.27491177727995,1.859381870781555,6.7468233989465425,Medium
Nairobi,Tanzania,Arusha,902.0,NAI-TAN-0302,SUV,76.31698356771786,391.72921808808366,3.07408944857689,17.767105569551813,Medium
Bujumbura,Dar es Salaam,,1496.0,BUJ-DAR-0303,Hybrid,43.92196945386311,127.01708648161224,0.550420400274924,5.438572424187481,Low
Juba,Wau,,647.0,JUB-WAU-0304,Saloon,104.38624720066466,58.988703912926646,1.2986310234128258,10.288764820805653,High
Juba,Wau,,647.0,JUB-WAU-0305,Coupe,90.84059957553056,180.96833568058176,0.32618807613058737,14.637896861755891,High
Nairobi,Kigali (via Kampala),Kampala,1172.0,NAI-KIG-0306,SUV,117.80366605281303,302.0756825578289,4.778878617115821,10.522578792860237,High
Kigali,Butare,,125.0,KIG-BUT-0307,Coupe,95.12759914444968,59.42998028278972,1.1769851579768758,17.812970904972467,Medium
Nairobi,Dar es Salaam,Mombasa,1012.0,NAI-DAR-0308,Hybrid,55.39180374665487,167.00190435377786,0.7971464491396102,8.95731178200127,High
Bujumbura,Gitega,,98.9,BUJ-GIT-0309,Hybrid,67.83594920130017,243.2812791115689,1.4127909090446997,7.446544604607731,Low
Nairobi,Wau,Juba,1868.0,NAI-WAU-0310,SUV,66.845747093276,118.06107293072056,2.288609254829323,12.509666613402981,High
Juba,Wau,,647.0,JUB-WAU-0311,Saloon,101.03696347046827,177.14238071910697,1.2850863670615498,7.91815097495374,Low
Nairobi,Arusha,,274.0,NAI-ARU-0312,Truck,83.00698466747176,605.9700122459386,10.676683619000016,30.61752645844653,High
Nairobi,Bujumbura,,1281.0,NAI-BUJ-0313,SUV,92.61229304055877,86.77640558605022,3.1040522453502977,14.84696287130047,High
Nairobi,Wau,Juba,1868.0,NAI-WAU-0314,Truck,48.28872700816379,761.9887029001976,18.49975371480662,30.035335059936624,Low
Kigali,Bujumbura,,273.0,KIG-BUJ-0315,Truck,63.11477805003036,388.235879109156,16.50973467150954,28.18147804110358,High
Kigali,Bujumbura,,273.0,KIG-BUJ-0316,Saloon,53.73638635291314,163.50074165569288,1.7096054258492592,10.673919020775664,High
Nairobi,Wau,Juba,1868.0,NAI-WAU-0317,Truck,42.59782887771342,650.3947395688232,12.013637821359744,23.879312523320582,High
Kampala,Juba,,653.0,KAM-JUB-0318,Truck,48.235317671614794,331.15054541004827,17.56751505688635,27.79078789255906,Medium
Kampala,Juba,,653.0,KAM-JUB-0319,Saloon,62.29287644904275,265.79242188257143,1.8193727824272938,13.964627400368055,Low
Kigali,Butare,,125.0,KIG-BUT-0320,Truck,51.93981056907697,415.8675409266917,19.84989656140875,31.580187144649855,High
Kigali,Bujumbura,,273.0,KIG-BUJ-0321,Truck,41.35837106127799,145.64321388234444,14.639313768123328,33.638303087923404,Low
Juba,Wau,,647.0,JUB-WAU-0322,Truck,66.93508989763572,448.46875562400317,11.054736999566305,29.85170157086441,Low
Kampala,Bujumbura,,720.0,KAM-BUJ-0323,SUV,109.32618963601354,221.18900337840304,4.214641478238646,19.644766539008117,Low
Bujumbura,Gitega,,98.9,BUJ-GIT-0324,SUV,72.22598754766135,285.4983340376336,2.5049828532960143,17.928544190338393,High
Nairobi,Dar es Salaam,Mombasa,1012.0,NAI-DAR-0325,SUV,94.65560195286946,335.5620878976367,4.292699558655629,13.95970472662455,High
Nairobi,Arusha,,274.0,NAI-ARU-0326,Saloon,104.90540410442259,169.2480828289192,0.736932234253022,12.56719294535042,Low
Nairobi,Kigali (via Arusha),Arusha,1354.0,NAI-KIG-0327,Hybrid,87.59568102629527,86.0228024962064,1.7857688854981295,11.343002783360365,Medium
Kigali,Bujumbura,,273.0,KIG-BUJ-0328,Truck,53.84522436889045,788.4650309006554,11.407115280487584,23.03023502603735,Low
Bujumbura,Kisumu,,1064.0,BUJ-KIS-0329,Truck,49.21124196190131,725.7927970055093,16.542925523249618,22.281564248334092,Medium
Nairobi,Kampala,Kisumu,663.0,NAI-KAM-0330,Saloon,76.41940510210094,192.28344701954455,0.6251961274840749,14.05933094725871,Low
Bujumbura,Gitega,,98.9,BUJ-GIT-0331,Truck,80.18017677207675,453.64474150364674,19.671266152591706,26.266414689126496,Low
Bujumbura,Gitega,,98.9,BUJ-GIT-0332,SUV,119.04661914218987,350.5639994616322,3.721349456388795,11.65954895295785,Low
Kigali,Bujumbura,,273.0,KIG-BUJ-0333,Hybrid,92.91566549827864,112.59752510094764,0.7433501086737191,5.088252639830313,High
Nairobi,Tanzania,Arusha,902.0,NAI-TAN-0334,Coupe,103.58534101830296,110.2059282033085,1.1632243468429901,16.90258053017802,Medium
Nairobi,Kigali (via Arusha),Arusha,1354.0,NAI-KIG-0335,Truck,43.97032923215148,612.0475432382536,11.874119440975822,32.87265579735746,Medium
Nairobi,Wau,Juba,1868.0,NAI-WAU-0336,SUV,109.14381083169937,293.357189743495,3.9858497951815903,13.143501131837484,Low
Kampala,Kigali,,511.0,KAM-KIG-0337,Coupe,98.27007393596888,166.1110105649896,0.8511182366078567,11.577982653254418,High
Bujumbura,Dar es Salaam,,1496.0,BUJ-DAR-0338,Hybrid,69.652746835018,208.7798205849324,1.002812071056309,6.2163311519502065,High
Juba,Wau,,647.0,JUB-WAU-0339,Coupe,112.72084121984685,166.93586041453554,0.42076497422824,10.398741127559447,Medium
Kampala,Bujumbura,,720.0,KAM-BUJ-0340,SUV,68.51831938565964,206.573635211975,3.076228426168944,17.488263369633064,High
Nairobi,Wau,Juba,1868.0,NAI-WAU-0341,Coupe,109.06885509290045,127.97642782090192,0.7228499359315852,16.4144755308476,Medium
Kigali,Bujumbura,,273.0,KIG-BUJ-0342,Saloon,78.27723004388987,294.14938264424325,1.4512132074436053,8.010117932516021,Medium
Nairobi,Arusha,,274.0,NAI-ARU-0343,Coupe,110.57065372452604,71.76976293202281,1.1235926360233168,8.696411481624057,Medium
Nairobi,Kampala,Kisumu,663.0,NAI-KAM-0344,Truck,48.744071858797966,699.0160812340505,12.271795570235149,32.5556168786441,High
Nairobi,Arusha,,274.0,NAI-ARU-0345,Truck,53.96380442272052,550.0173370410953,16.94150573509831,27.689821297175794,Medium
Kigali,Bujumbura,,273.0,KIG-BUJ-0346,Saloon,68.31864060180388,79.54042538390692,0.5497840318436393,9.43157120992579,Medium
Nairobi,Kampala,Kisumu,663.0,NAI-KAM-0347,SUV,99.18976743187699,472.2371683018172,4.549215687920682,17.660647765353026,Low
Bujumbura,Kisumu,,1064.0,BUJ-KIS-0348,Truck,79.42236716266493,565.4894324331967,12.602868575660029,33.607925460587445,Medium
Nairobi,Wau,Juba,1868.0,NAI-WAU-0349,Hybrid,80.24393871435004,144.5057514353056,0.6664842038202217,8.129388806644979,Medium
Nairobi,Arusha,,274.0,NAI-ARU-0350,Truck,63.01791356009632,705.194526665869,15.466482201877884,25.706008234556144,Low
Nairobi,Arusha,,274.0,NAI-ARU-0351,Truck,88.84001642553297,177.50441532842098,14.225484283119446,20.63037012757108,Low
Kigali,Butare,,125.0,KIG-BUT-0352,SUV,104.39424724601582,463.1344484896178,2.480130653426713,18.58341676799121,High
Bujumbura,Gitega,,98.9,BUJ-GIT-0353,Coupe,87.53309382771387,183.0463307123439,1.2047542843161407,16.049067768414385,Medium
Kampala,Juba,,653.0,KAM-JUB-0354,Truck,40.90032778002273,773.9672499518182,17.26670992070323,24.571266430792,High
Nairobi,Kampala,Kisumu,663.0,NAI-KAM-0355,Saloon,99.76367989153081,98.82593555618038,1.8091307593491919,7.900643123295496,High
Kigali,Bujumbura,,273.0,KIG-BUJ-0356,Coupe,112.22115864764774,112.73271056253296,0.41584136423452894,10.418938282588389,Low
Bujumbura,Gitega,,98.9,BUJ-GIT-0357,Hybrid,40.744242176638885,122.50431171148139,0.9518978911400006,9.188502390084311,High
Nairobi,Wau,Juba,1868.0,NAI-WAU-0358,SUV,77.83426846251703,184.9636001781431,4.101176195560612,10.481428359783534,Medium
Bujumbura,Gitega,,98.9,BUJ-GIT-0359,Hybrid,94.17369971151923,214.54332985388356,1.5017070248396098,9.15255099075169,Low
Nairobi,Bujumbura,,1281.0,NAI-BUJ-0360,Coupe,123.53814988837914,45.21273411045574,0.39476299462899433,10.395101699095381,Medium
Kampala,Juba,,653.0,KAM-JUB-0361,Coupe,117.67469672201142,16.587350678031832,0.9993682021001875,17.9543751619131,Medium
Nairobi,Arusha,,274.0,NAI-ARU-0362,Coupe,121.34176563025237,109.074680918282,0.37636909114397077,16.313735143857098,Low
Kampala,Juba,,653.0,KAM-JUB-0363,Hybrid,75.93871049063263,37.58391929429604,0.6407859272350342,11.367387736056147,Medium
Nairobi,Arusha,,274.0,NAI-ARU-0364,Coupe,110.15201577628471,167.56449187018356,1.3547746803387208,13.717723520483222,Low
Nairobi,Kigali (via Kampala),Kampala,1172.0,NAI-KIG-0365,Hybrid,71.04678110530247,113.30257847703764,0.9754198816866789,8.042171726010983,Medium
Kampala,Bujumbura,,720.0,KAM-BUJ-0366,Coupe,116.43277934380939,124.365451892875,1.3710279479458154,12.433800143791878,Low
Nairobi,Kampala,Kisumu,663.0,NAI-KAM-0367,Saloon,86.42537472312524,196.76611486575683,1.3875457434594882,12.62107018468413,High
Nairobi,Arusha,,274.0,NAI-ARU-0368,Coupe,84.24600810248837,107.34911773370023,0.42506976337001723,11.845113276448124,Medium
Nairobi,Tanzania,Arusha,902.0,NAI-TAN-0369,Hybrid,69.26002411727586,166.5338222909134,1.9257965788793052,9.20455746583849,Low
Nairobi,Kigali (via Kampala),Kampala,1172.0,NAI-KIG-0370,Truck,77.17969580882799,454.3862416466419,16.341040313763315,21.0639832420066,Medium
Kigali,Bujumbura,,273.0,KIG-BUJ-0371,Coupe,85.26349485051082,78.75208770897635,0.8669920260078163,8.456487455023836,Medium
Nairobi,Dar es Salaam,Mombasa,1012.0,NAI-DAR-0372,Truck,47.001204877665884,293.7700154539141,19.715326909010507,24.970205106545762,Medium
Bujumbura,Kisumu,,1064.0,BUJ-KIS-0373,Saloon,78.92246348672495,74.90735956675002,1.4161701066136523,9.245465724127794,Low
Bujumbura,Dar es Salaam,,1496.0,BUJ-DAR-0374,SUV,72.4195547063056,282.4576828006906,1.5192702970614729,10.076640326492253,High
Bujumbura,Kisumu,,1064.0,BUJ-KIS-0375,Saloon,63.14412854611147,30.281981500229918,0.6620386311960371,9.710885194710013,High
Kigali,Butare,,125.0,KIG-BUT-0376,Coupe,118.15514077478878,118.68924224016716,0.9152012711476996,10.934888232081217,High
Kampala,Juba,,653.0,KAM-JUB-0377,Truck,86.58768597164081,377.91052886603416,10.870927667957716,29.25599774176702,Low
Nairobi,Kigali (via Kampala),Kampala,1172.0,NAI-KIG-0378,Truck,45.69191967383007,341.6561999611845,15.074119387178088,33.11333787027763,High
Nairobi,Kampala,Kisumu,663.0,NAI-KAM-0379,Hybrid,69.61279482040712,178.54210384759944,1.9892252584986054,5.9204238392858715,Low
Kigali,Bujumbura,,273.0,KIG-BUJ-0380,Truck,53.73657627597598,376.20325291835246,14.218281785388314,26.165316128983186,Medium
Kampala,Juba,,653.0,KAM-JUB-0381,Hybrid,94.4566601533933,181.36783467204555,1.4118578211360555,7.165609025039474,Medium
Nairobi,Kampala,Kisumu,663.0,NAI-KAM-0382,SUV,109.42742305327768,479.777230168245,4.374193988925793,10.015651051914729,High
Kampala,Kigali,,511.0,KAM-KIG-0383,Coupe,108.18408221100442,19.715722473999136,0.6091286644004662,8.595247003477716,Low
Juba,Wau,,647.0,JUB-WAU-0384,Hybrid,76.22772717696327,174.78157923822562,0.6717314570988577,7.686872181314857,Medium
Nairobi,Dar es Salaam,Mombasa,1012.0,NAI-DAR-0385,SUV,87.37419053733252,216.07385979241246,1.9235875016981756,14.189477901874755,Low
Nairobi,Bujumbura,,1281.0,NAI-BUJ-0386,Truck,77.55890239042091,149.70536517327884,10.801800140819035,25.321569377539763,Low
Nairobi,Dar es Salaam,Mombasa,1012.0,NAI-DAR-0387,Truck,87.08628558094625,568.0008527060398,16.78669956672565,25.428799862567974,Medium
Kampala,Kigali,,511.0,KAM-KIG-0388,SUV,95.6196474725123,54.55903281248452,3.7263361624333977,19.13286947576237,Low
Dar es Salaam,Kigali,,1444.0,DAR-KIG-0389,Truck,70.62867341724096,711.5890154264415,17.239730554660937,21.808376246055353,Medium
Nairobi,Dar es Salaam,Mombasa,1012.0,NAI-DAR-0390,SUV,114.14719843715051,79.8997299600987,3.368886153917173,11.421371237934576,Medium
